rna_type,gene_name,rnacentral_id,hgnc_id
"lncRNA","Myoparr","URS0000E42B0E_9606","HGNC:54178"
"lncRNA","LINC01353","URS000075B295_9606","HGNC:50580"
"lncRNA","lnc-CDK18-1","URS00008BDA32_9606","HGNC:27631"
"lncRNA","MFSD4A-AS1","URS0000CCE071_9606","HGNC:27632"
"lncRNA","DYRK3-AS1","URS00022B2827_9606","HGNC:40199"
"lncRNA","MIR29B2CHG","URS0000A77143_9606","HGNC:32018"
"lncRNA","LINC01698","URS0000BC43D7_9606","HGNC:52486"
"lncRNA","MIR205HG","URS0000ABD848_9606","HGNC:43562"
"lncRNA","SERTAD4-AS1","URS0000D77F5A_9606","HGNC:32019"
"lncRNA","KCNH1-IT1","URS0000BC4558_9606","HGNC:41351"
"lncRNA","LINC00467","URS000075ACB7_9606","HGNC:28227"
"lncRNA","non-coding transcript regulating alternative splicing","URS00008E39CF_9606","HGNC:52478"
"lncRNA","NEK2-DT","URS0000BC44A0_9606","HGNC:28085"
"lncRNA","LYPLAL1-DT","URS000075B5F8_9606","HGNC:50560"
"lncRNA","LYPLAL1-AS1","URS0000A77289_9606","HGNC:54054"
"lncRNA","LINC02257","URS0000BC4493_9606","NA"
"lncRNA","LINC01736","URS0000A774BF_9606","HGNC:52524"
"lncRNA","TRIM67-AS1","URS0000380C69_9606","HGNC:41282"
"lncRNA","ENSG00000237520.2","URS00025E764C_9606","HGNC:56012"
"lncRNA","LNCATV","URS00007E4015_9606","HGNC:54478"
"lncRNA","LINC01139","URS000075A909_9606","HGNC:27924"
"lncRNA","KIF26B-AS1","URS0000CCDFB1_9606","HGNC:41098"
"lncRNA","DIP2C-AS1","URS0000E86FC5_9606","HGNC:30724"
"lncRNA","ADARB2-AS1","URS0000CCE155_9606","HGNC:23299"
"lncRNA","LINC00700","URS000075B9DB_9606","HGNC:27422"
"lncRNA","PFKP-DT","URS0000E60B5B_9606","HGNC:55177"
"lncRNA","PITRM1-AS1","URS000075BE06_9606","HGNC:44675"
"lncRNA","LINC00705","URS000075E9C9_9606","HGNC:27874"
"lncRNA","LASTR","URS0000A77231_9606","HGNC:54143"
"lncRNA","LINP1","URS0000A76D17_9606","HGNC:53170"
"lncRNA","LINC00709","URS000075DB9C_9606","HGNC:44700"
"lncRNA","NONHSAG005209.2","URS00003D754F_9606","HGNC:54157"
"lncRNA","PROSER2-AS1","URS000075BA57_9606","HGNC:27343"
"lncRNA","VIM-AS1","URS000075B948_9606","HGNC:44879"
"lncRNA","NEBL-AS1","URS000075AE68_9606","HGNC:44899"
"lncRNA","C10orf67-AS1","URS0000D78001_9606","HGNC:55861"
"lncRNA","LINC03028","URS0000A76C06_9606","HGNC:56168"
"lncRNA","FAM238A","URS000075BC29_9606","HGNC:17776"
"lncRNA","MKX-AS1","URS000075DE1B_9606","HGNC:50686"
"lncRNA","LINC02644","URS0000A76472_9606","HGNC:54127"
"lncRNA","ENSG00000237797.3","URS00025E7734_9606","HGNC:53963"
"lncRNA","EPC1-AS1","URS000075BE23_9606","HGNC:50717"
"lncRNA","IATPR","URS0000E60B05_9606","HGNC:53719"
"lncRNA","LINC02629","URS0002123126_9606","HGNC:54108"
"lncRNA","LINC00999","URS000075E54A_9606","HGNC:38537"
"lncRNA","LINC00839","URS000075BFEF_9606","HGNC:28269"
"lncRNA","LINC02658","URS0000A77064_9606","HGNC:54144"
"lncRNA","ENSG00000277288.5","URS00007BE1A3_9606","HGNC:51236"
"lncRNA","ZNF22-AS1","URS0000EEACA5_9606","HGNC:23509"
"lncRNA","SYT15-AS1","URS0000D78064_9606","HGNC:56167"
"lncRNA","PRKG1-AS1","URS000075EB1A_9606","HGNC:45029"
"lncRNA","ENSG00000285551.2","URS0000DBA8AE_9606","HGNC:55812"
"lncRNA","LINC00595","URS0000D78019_9606","HGNC:31430"
"lncRNA","NUTM2B-AS1","URS0000759C3A_9606","HGNC:51204"
"lncRNA","NUTM2B-AS1","URS000075A46C_9606","HGNC:45161"
"lncRNA","LINC02647","URS0000759F36_9606","HGNC:54131"
"lncRNA","LINC01520","URS000075B6C0_9606","HGNC:51218"
"lncRNA","LINC00865","URS000075A40C_9606","HGNC:45170"
"lncRNA","LINC01374","URS0000BC456D_9606","NA"
"lncRNA","HECTD2-AS1","URS000075B789_9606","HGNC:48679"
"lncRNA","PLCE1-AS2","URS000075B5EB_9606","HGNC:51206"
"lncRNA","DNMBP-AS1","URS0000CCE041_9606","HGNC:20431"
"lncRNA","OLMALINC","URS000075C0D0_9606","HGNC:28060"
"lncRNA","LBX1-AS1","URS000075A252_9606","HGNC:48678"
"lncRNA","KCNIP2-AS1","URS000075ABA8_9606","HGNC:48680"
"lncRNA","C10orf95-AS1","URS000075B6B9_9606","HGNC:45238"
"lncRNA","SORCS3-AS1","URS0000759BD2_9606","HGNC:45244"
"lncRNA","LINC01435","URS00007E3821_9606","HGNC:50753"
"lncRNA","SLC18A2-AS1","URS00022B774E_9606","HGNC:55843"
"lncRNA","CASC2","URS000075B07A_9606","HGNC:22933"
"lncRNA","LMNTD2-AS1","URS0000BC4643_9606","HGNC:41204"
"lncRNA","LINC02688","URS0000E60B51_9606","HGNC:54184"
"lncRNA","ENSG00000235027.1","URS000027B716_9606","HGNC:40168"
"sRNA","H19","URS0000812128_9606","HGNC:4713"
"lncRNA","IGF2-AS","URS0000A76E5D_9606","HGNC:14062"
"lncRNA","CD81-AS1","URS0000759B3A_9606","HGNC:49384"
"lncRNA","SLC22A18AS","URS0001BBE583_9606","HGNC:10965"
"lncRNA","LINC02751","URS0001BBE4A4_9606","HGNC:54271"
"lncRNA","LINC02729","URS00008E39AE_9606","HGNC:54246"
"lncRNA","NAV2-AS3","URS00025E3453_9606","HGNC:40742"
"lncRNA","LINC01495","URS000075E984_9606","HGNC:51161"
"lncRNA","CD44-DT","URS000075AE0C_9606","HGNC:56175"
"lncRNA","MIR670HG","URS00008120ED_9606","HGNC:49204"
"lncRNA","LINC02685","URS000075A793_9606","HGNC:27350"
"lncRNA","LINC02716","URS000075E6BC_9606","HGNC:25454"
"lncRNA","LINC00301","URS0000759996_9606","HGNC:28603"
"lncRNA","PPP1R14B-AS1","URS0000A76754_9606","HGNC:54233"
"lncRNA","CAPN1-AS1","URS0000ABD8A5_9606","HGNC:56068"
"lncRNA","B4GAT1-DT","URS0000A765B6_9606","HGNC:56070"
"lncRNA","lnc-NUDT8-3","URS00007C9E84_9606","HGNC:26915"
"lncRNA","MRGPRF-AS1","URS000075D8FB_9606","HGNC:51140"
"lncRNA","ENSG00000254682.2","URS00022B4028_9606","HGNC:56822"
"lncRNA","ENSG00000289625.1","URS00022B6AB1_9606","HGNC:56237"
"lncRNA","ARHGEF17-AS1","URS0000BC44BA_9606","HGNC:55485"
"lncRNA","EMSY-DT","URS00025EEC56_9606","HGNC:55507"
"lncRNA","RSF1-IT1","URS00025E34B1_9606","HGNC:41439"
"lncRNA","LINC02728","URS000075ED9D_9606","HGNC:54245"
"lncRNA","LINC02720","URS000075C669_9606","HGNC:54237"
"lncRNA","TMEM123-DT","URS0000A764DE_9606","HGNC:55502"
"lncRNA","LINC02732","URS0000ABD8E2_9606","HGNC:54249"
"lncRNA","LINC02550","URS0000BC44DA_9606","HGNC:53585"
"lncRNA","lnc-C11orf88-1","URS00008BFFB5_9606","HGNC:55987"
"lncRNA","LINC02764","URS000075D9A0_9606","HGNC:54283"
"lncRNA","LINC00900","URS000075BB5B_9606","HGNC:27444"
"lncRNA","LINC02151","URS00025E3586_9606","HGNC:53013"
"lncRNA","TTC36-AS1","URS000075A114_9606","HGNC:55495"
"lncRNA","KIRREL3-AS2","URS000075C7CB_9606","HGNC:42656"
"lncRNA","LINC02712","URS000075B56C_9606","HGNC:54229"
"lncRNA","LINC02098","URS0000BC4413_9606","HGNC:52950"
"lncRNA","ETS1-AS1","URS000075B558_9606","HGNC:53932"
"lncRNA","KCNJ5-AS1","URS0001BBE59D_9606","HGNC:28584"
"lncRNA","ZBTB44-DT","URS0000BC44D8_9606","HGNC:54265"
"lncRNA","ENSG00000256540.2","URS00022B145A_9606","HGNC:56002"
