H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
0,0,0,0,0,0,0,0,0,0,0,0,2.22415,3.84171,2.22415,0,0,0,0,0,0,0,0,0,41.0233,5.49702,5.49702,4.47036,4.47036,4.47036,0,0,0,4.1755,4.17550,4.1755,0,0,0,4667.63,124.15952,124.16,0,0,0,4272.21,119.91380,119.914,0.970092,3.68635,0.970092,2625.39,39.58710,39.5871,756.978,26.50818,26.5082,4395.27,222.94598,222.946,0,0,0,19.2319,5.33696,5.33696,628.308,30.36196,30.362,619.784,70.77648,70.7765,4.14867,4.14867,4.14867,0,0,0,0.77484,3.34590,0.77484,0,0,0,0,0,0,674.363,30.10812,30.1081,0,0,0,0,0,0,0,0,0
2.60888,2.60888,2.60888,0,0,0,0,0,0,0,0,0,2.60198,3.69556,2.60198,0,0,0,0,0,0,0,0,0,2.42747,2.42747,2.42747,0,0,0,5.02682,5.02682,5.02682,0,0,0,0,0,0,158.881,22.08147,22.0815,33.5717,16.72895,8.87659,170.182,11.34181,11.3418,0,0,0,114.277,13.70276,13.7028,0,0,0,4.33938,6.34715,4.33938,0,0,0,0,0,0,32.2569,13.82932,13.8293,14.3932,7.06248,7.06248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4946,6.47138,6.47138,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0222,6.92459,6.41398,0,0,0,2227.93,25.63222,25.6322,0,0,0,15.3978,7.97862,7.97862,0,0,0,0,0,0,0,0,0,2.15053,4.24132,2.15053,16.4152,16.41523,16.4152,2.29374,2.43068,2.29374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1147,3.61024,2.69497,0,0,0,0,0,0,0,0,0
4.77855,8.32625,2.21093,2.34418,2.34418,2.34418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5076,2.32040,1.5076,0,0,0,0,0,0,215.119,43.66086,43.6609,8.09085,3.99226,3.99226,4.91292,4.91292,4.91292,0,0,0,64.6272,12.80012,12.8001,17.8417,17.84166,17.8417,227.496,43.39663,43.3966,0,0,0,0,0,0,0,0,0,52.2333,18.80964,18.8096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16929,3.09820,3.0982,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.624,35.00677,35.0068,15.1507,5.44512,5.44512,1224.84,27.86513,27.8651,0,0,0,52.1923,8.24521,8.17592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93093,3.64731,1.93093,4.33996,4.33996,4.33996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21737,3.21737,3.21737
0,0,0,5.94602,3.88778,2.97301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13325,2.47745,1.56662,0,0,0,0,0,0,32.8964,4.32292,4.32292,21.435,8.82332,3.18715,409.978,10.98100,10.981,0,0,0,21.8542,4.45257,4.26278,0,0,0,0,0,0,0,0,0,9.11071,4.78508,3.81648,4.59409,4.39997,2.29704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7118,4.06578,3.54308,0,0,0,0,0,0,0,0,0
0,0,0,5.94602,3.88778,2.97301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13325,2.47745,1.56662,0,0,0,0,0,0,32.8964,4.32292,4.32292,21.435,8.82332,3.18715,409.978,10.98100,10.981,0,0,0,21.8542,4.45257,4.26278,0,0,0,0,0,0,0,0,0,9.11071,4.78508,3.81648,4.59409,4.39997,2.29704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7118,4.06578,3.54308,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654048,5.76751,0.654048,5.16545,5.16545,5.16545,6.34355,6.34355,6.34355,0,0,0,149.519,35.49656,35.4966,46.6359,9.48291,9.48291,13.7555,6.80631,6.80631,0,0,0,6.60634,6.60634,6.60634,0,0,0,121.983,21.28308,21.2831,0,0,0,0,0,0,0,0,0,3.94614,3.94614,3.94614,0,0,0,0,0,0,1.34861,3.73758,1.34861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.33466,3.54147,1.63569,0,0,0,0,0,0,2.33404,3.41129,2.33404,0,0,0,0,0,0,4.03596,4.03596,4.03596,0,0,0,2.40184,2.40184,2.40184,0,0,0,0,0,0,0,0,0,931.427,45.53230,45.5323,17.9528,8.59806,8.59806,113.937,12.88103,11.8364,0,0,0,594.144,17.57505,15.7924,51.4917,4.54886,4.54886,222.82,28.05884,28.0588,0,0,0,0,0,0,25.3051,18.33520,18.3352,124.764,30.31104,30.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7771,4.37437,4.37437,0,0,0,2.6797,4.68178,2.6797,1.33417,5.19983,1.33417
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.383,151.64091,151.641,22.5319,10.18285,8.45379,292.706,17.16168,17.1617,0,0,0,4.13633,10.26580,4.02653,0,0,0,0,0,0,0,0,0,1.34711,4.19850,1.34711,5.4919,5.33415,3.28036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05424,7.56150,2.11332,0,0,0,0,0,0,0,0,0
