H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
67.6498,21.03227,21.0323,6.58538,6.58538,6.58538,3.46739,3.69551,3.46739,3.47297,5.62621,3.47297,1.31908,4.19818,0.8811,10.2948,5.68227,5.68227,0,0,0,7.06415,5.94912,5.94912,11.0716,3.80243,3.80243,0,0,0,8.42245,8.42245,8.42245,6.64756,6.64756,6.64756,0,0,0,747.819,48.99382,48.9938,911.641,63.17099,63.171,32.3784,21.77003,21.77,1.95227,3.85693,1.95227,1163.07,44.66563,44.6656,759.567,42.72870,42.7287,1669.93,79.21112,79.2111,0,0,0,4.75908,4.75908,4.75908,20.7505,15.18825,15.1883,220.953,50.00574,50.0057,0,0,0,0,0,0,4.18708,4.18708,4.18708,0,0,0,0,0,0,15.1847,5.34806,4.62241,0,0,0,7.73973,4.27347,4.27347,10.2529,6.76047,6.76047
7.61948,4.95451,3.82848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60613,5.43807,3.2134,0,0,0,0,0,0,4.01909,4.01909,4.01909,0,0,0,871.908,44.07553,42.2792,279.753,29.09398,29.094,104.608,24.75591,24.7559,0,0,0,770.696,27.04764,27.0476,24.3733,24.40855,24.1312,336.499,19.94491,19.9449,0,0,0,0,0,0,0,0,0,12.6485,10.79900,10.799,3.40332,3.40332,3.40332,0,0,0,288.565,16.55014,16.5501,0,0,0,0,0,0,5.73904,4.29554,3.49364,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2514,4.05175,3.2514,4.01909,4.01909,4.01909,0,0,0,696.715,44.07553,44.0755,265.381,29.09398,29.094,13.3416,19.83399,7.88852,0,0,0,694.285,27.04764,27.0476,36.7793,24.40855,24.4086,299.125,19.94491,19.9449,0,0,0,0,0,0,0,0,0,18.5568,10.79900,10.799,1.76468,3.40332,1.76468,0,0,0,348.017,16.55014,16.5501,0,0,0,0,0,0,5.30366,3.49364,3.49364,0,0,0,0,0,0,0,0,0
0,0,0,1.70745,3.26643,1.70745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51957,2.72902,1.51957,0,0,0,4.05175,4.05175,4.05175,4.01909,4.01909,4.01909,0,0,0,750.121,44.07553,44.0755,191.872,29.09398,29.094,5.45304,5.45304,5.45304,0,0,0,573.561,27.04764,23.0909,53.6004,24.40855,24.4086,176.214,19.94491,19.9449,0,0,0,0,0,0,0,0,0,22.0194,10.79900,10.799,0,0,0,0,0,0,266.233,16.55014,13.596,0,0,0,0,0,0,6.25989,3.49364,3.49364,0,0,0,0,0,0,0,0,0
9.46043,5.38500,5.385,3.26643,3.26643,3.26643,0,0,0,0,0,0,0,0,0,4.88249,4.88249,4.88249,0,0,0,4.88018,4.88018,4.88018,2.72902,2.72902,2.72902,0,0,0,0,0,0,0,0,0,0,0,0,702.762,44.07553,44.0755,63.608,11.08693,10.9501,14.3623,8.90924,8.90924,0,0,0,337.127,23.09093,23.0909,75.7157,24.40855,24.4086,131.211,19.94491,19.9449,0,0,0,0,0,0,0,0,0,65.1828,21.29911,21.2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9789,2.76625,2.76625,0,0,0,0,0,0,0,0,0
0,0,0,7.7151,6.09981,6.09981,0,0,0,0,0,0,7.74951,4.37838,4.1672,0,0,0,0,0,0,2.61114,3.76689,2.61114,0,0,0,0,0,0,2.92977,3.48405,2.92977,0,0,0,0,0,0,79.3533,25.06236,25.0624,582.193,29.02715,29.0271,10.3061,6.15832,6.15832,0,0,0,645.724,37.58345,37.5834,157.651,19.44530,19.4453,1103.78,40.95834,40.9583,0,0,0,0,0,0,0,0,0,0.8062,3.22480,0.8062,0,0,0,0,0,0,5.01007,5.01007,5.01007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7.69145,6.09981,6.09981,0,0,0,0,0,0,7.93979,4.37838,4.26411,0,0,0,0,0,0,2.69728,3.76689,2.69728,0,0,0,0,0,0,3.01091,3.48405,3.01091,0,0,0,0,0,0,99.6322,32.34482,28.097,581.77,29.02715,29.0271,8.59663,10.76052,3.92784,0,0,0,644.982,37.58345,37.5834,157.7,19.44530,19.4453,1104.3,40.95834,40.9583,0,0,0,0,0,0,0,0,0,0.716622,3.22480,0.716622,0,0,0,0,0,0,5.01007,5.01007,5.01007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.1826,16.18263,16.1826,6.09981,6.09981,6.09981,0,0,0,0,0,0,0,0,0,4.33361,4.33361,4.33361,0,0,0,0,0,0,6.82472,4.22450,4.2245,0,0,0,0,0,0,5.27546,5.27546,5.27546,0,0,0,255.184,37.43358,32.3448,944.318,29.02715,29.0271,22.6533,10.76052,10.7605,4.73253,4.91005,2.56662,1123.26,37.58345,37.5834,355.956,31.12144,31.1214,1440.19,40.95834,40.9583,0,0,0,0,0,0,0,0,0,5.91604,10.02888,3.86468,0,0,0,0,0,0,4.417,4.41700,4.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25967,5.35502,4.25967
24.3179,16.18263,16.1826,6.09981,6.09981,6.09981,0,0,0,0,0,0,4.83265,4.83265,4.83265,12.8998,8.56615,8.56615,0,0,0,0,0,0,4.2245,4.22450,4.2245,0,0,0,12.6062,6.32193,6.32193,0,0,0,0,0,0,1220.05,40.24314,40.2431,1085.45,29.02715,29.0271,5.42984,5.42984,5.42984,19.8977,6.21861,6.21861,1456.1,37.58345,37.5834,478.658,31.12144,31.1214,2455.63,41.91394,40.9583,0,0,0,0,0,0,0,0,0,104.211,13.64757,13.6476,0,0,0,0,0,0,9.01224,4.55254,3.14357,0,0,0,0,0,0,0,0,0,0,0,0,4.53737,4.53737,4.53737,9.51689,5.35502,5.35502
59.6548,16.18263,16.1826,0,0,0,0,0,0,4.52494,4.52494,4.52494,1.26691,3.58231,1.26691,10.1676,6.93320,5.83403,0,0,0,6.70524,6.70524,6.70524,0,0,0,0,0,0,9.93894,5.16428,5.16428,0,0,0,0,0,0,1203.16,40.24314,40.2431,652.873,29.02715,29.0271,33.6733,8.35841,8.35841,7.4238,3.74124,3.74124,584.612,30.64790,23.2543,756.891,31.12144,31.1214,4589.39,45.68138,45.6814,2.75074,5.37049,2.75074,0,0,0,6.12537,6.12537,6.12537,207.11,23.70197,23.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9085,5.45964,5.45964,0,0,0
