H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
5.61138,7.14000,5.61138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061348,2.26374,0.061348,0,0,0,0,0,0,0,0,0,0,0,0,350.717,36.32912,36.3291,4.84255,10.02992,3.86402,1440.94,33.92462,33.9246,0,0,0,811.072,45.87442,45.8744,265.685,24.14840,17.5749,110.973,27.22695,27.2269,0,0,0,0,0,0,0,0,0,5.82713,5.82713,5.82713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6762,5.76622,5.76622,0,0,0,0,0,0,0,0,0
0,0,0,7.40758,4.28299,4.28299,0,0,0,3.31232,3.49354,3.31232,0,0,0,3.89089,4.70432,3.89089,0,0,0,0,0,0,0,0,0,0,0,0,6.55847,4.99174,4.99174,4.42279,4.85667,4.42279,0,0,0,821.972,29.62241,29.6224,30.8241,19.89388,15.8501,15.2363,8.44336,8.44336,0,0,0,504.448,29.14347,29.1435,122.191,13.28365,13.2589,66.7146,12.17775,12.1777,0,0,0,0,0,0,0,0,0,22.9597,9.99141,9.99141,0,0,0,0,0,0,8.02396,6.32108,6.32108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49282,3.94177,2.49282,74.9841,11.15210,7.09679,10.9784,4.92128,4.92128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.6313,11.33561,11.3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9347,7.05136,5.56998,57.6542,11.34040,7.50767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.541,7.03728,7.03728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.7095,9.07422,9.07422,10.5496,6.41114,6.41114,5.57186,5.57186,5.57186,7.44384,7.44384,7.44384,8.47737,4.62134,4.62134,11.3907,5.60095,5.14239,4.98358,4.98358,4.98358,5.9194,5.91940,5.9194,0,0,0,1.69475,3.55925,1.20723,11.9977,5.14598,5.14598,12.9051,6.90090,6.9009,0,0,0,677.831,38.97935,38.9793,32.3615,8.57445,8.57445,1.96649,3.61580,1.96649,9.514,9.07928,9.07928,873.83,15.19456,15.1946,111.597,21.07611,21.0761,162.231,18.54811,18.5481,7.2138,7.21380,7.2138,0.664425,2.91325,0.664425,21.23,12.67319,12.6732,85.4839,21.20551,21.2055,4.82889,4.82889,4.82889,0,0,0,4.554,5.81145,4.554,0,0,0,0,0,0,0,0,0,2.88211,2.88211,2.88211,27.3101,10.88404,10.884,15.9109,8.81203,8.81203
17.8955,7.95935,2.8605,9.68678,7.25967,3.13344,1.27449,4.03245,1.27449,5.28656,7.05925,3.17276,11.2603,6.74483,2.93403,10.9203,10.22801,5.60498,3.69733,5.14756,2.02928,1.80665,4.28381,1.33573,10.8986,4.11827,3.74738,3.30248,6.49131,2.49835,5.81256,9.28185,3.02823,0.772404,4.23257,0.514237,1.33283,6.32555,1.33283,2363.6,170.66928,170.669,526.148,57.49006,34.4501,45.2202,33.66122,26.5114,8.35174,8.41443,4.43241,2049.28,59.66850,59.6685,783.643,35.83599,35.836,3410.79,205.39395,146.078,4.40584,5.93017,2.73584,2.96316,4.30630,1.73688,98.6221,32.35881,32.3588,306.555,92.48557,66.4765,3.1024,5.11169,1.93414,0,0,0,1.23517,4.05502,0.658036,0,0,0,0,0,0,22.7443,5.12260,4.80053,1.13941,4.29837,1.13941,8.27112,8.28952,3.64823,8.10879,7.51487,2.98807
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5721,11.12186,10.4073,216.08,11.50100,11.501,17.9489,7.43163,3.88864,0,0,0,427.457,12.92236,12.9224,15.2698,3.36753,3.36753,103.207,16.51079,16.5108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.274,7.32553,7.27583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91908,3.91908,3.91908,0,0,0,0,0,0,0,0,0,0,0,0,422.383,46.45226,46.4523,8.64118,6.80225,4.34377,2879.4,24.74906,24.7491,0,0,0,134.045,16.64354,16.3084,22.1241,11.27306,8.14586,10.1226,4.19962,3.40823,0,0,0,2.52735,3.31770,2.00398,8.68625,4.43562,3.89014,99.4933,13.66030,12.5296,0,0,0,0,0,0,3.86201,8.38018,3.86201,0,0,0,0,0,0,48.3647,5.77061,5.45261,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67239,4.57758,2.67239,402.013,19.08991,19.0899,0,0,0,0,0,0,5.59457,4.57510,3.76709,0,0,0,4.68458,6.52560,4.68458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.7602,5.77311,5.77311,2.6703,2.67030,2.6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2676,3.26760,3.2676,0,0,0,0,0,0,0,0,0,0,0,0,73.3605,28.22457,28.2246,1074.7,27.29871,27.2987,2.61233,2.67764,2.61233,0,0,0,224.666,11.88088,11.8809,5.57958,4.37644,3.28462,9.01149,4.56569,4.51001,0,0,0,0,0,0,0,0,0,4.31609,4.31609,4.31609,0,0,0,0,0,0,99.4375,12.34871,12.3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
