H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
13.7415,8.32250,7.21837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.142,34.96439,34.9644,1476.49,86.87144,86.8714,95.5667,30.01380,30.0138,0,0,0,387.437,26.31611,26.3161,214.355,15.05705,15.0571,5777.36,157.06750,157.067,0,0,0,0,0,0,0,0,0,26.7772,14.44609,14.4461,0,0,0,0,0,0,134.303,9.22591,9.22591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.581,38.84350,38.8435,352.497,26.27450,26.2745,250.707,50.22199,50.222,0,0,0,97.138,45.45510,45.4551,71.6166,16.37379,14.5334,549.563,48.72231,48.7223,0,0,0,0,0,0,0,0,0,1.9028,9.51402,1.9028,0,0,0,0,0,0,116.535,7.36264,7.36264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646.97,165.29889,165.299,1183.03,49.10466,49.1047,689.051,121.16467,121.165,0,0,0,1301.77,54.52869,54.5287,278.017,19.86173,19.8617,1142.3,62.61018,62.6102,0,0,0,0,0,0,20.7412,12.88441,12.8844,0,0,0,0,0,0,0,0,0,37.8089,9.43783,9.43783,0,0,0,0,0,0,11.7181,3.91755,3.22711,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1124,6.65445,6.65445,775.245,17.24452,17.005,22.3578,7.15374,6.16017,0,0,0,45.1194,8.28285,8.28285,6.17685,6.17685,6.17685,47.515,16.18607,16.1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86151,2.86151,2.86151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.83936,3.87492,3.87492,0,0,0,0,0,0,8.24226,8.24226,8.24226,0,0,0,0,0,0,0,0,0,4.38242,4.38242,4.38242,0,0,0,5.9597,5.95970,5.9597,0,0,0,0,0,0,0,0,0,82.0365,8.70044,8.70044,532.254,9.97093,9.97093,0,0,0,0,0,0,51.4038,8.26031,8.26031,3.491,3.49100,3.491,7.99942,4.77041,4.77041,0,0,0,6.19788,6.19788,6.19788,0,0,0,5.35797,3.58943,3.26414,0,0,0,0,0,0,2.03352,2.03352,2.03352,0,0,0,0,0,0,2.96671,2.96671,2.96671,0,0,0,3.75205,3.75205,3.75205,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02146,2.75009,1.02146,0,0,0,0,0,0,0,0,0,0,0,0,33.8247,17.97355,17.9735,437.816,17.15868,17.1587,0,0,0,0,0,0,54.6098,20.17774,20.1777,16.7919,8.81030,5.85761,2.41896,9.96043,2.41896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30237,3.52789,2.39687,0,0,0,0,0,0,1.8886,3.07447,1.8886,0,0,0,0,0,0,0,0,0
19.8983,10.82207,10.5972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536006,4.22849,0.536006,0.42473,3.35065,0.42473,447.473,26.15093,26.1509,1395.62,47.50832,47.5083,145.971,51.31932,51.3193,0,0,0,434.647,17.42754,17.4275,299.783,18.12392,16.9896,5354.92,195.88019,195.88,0,0,0,0,0,0,0,0,0,60.2623,14.40972,14.4097,0,0,0,0,0,0,121.111,18.08364,18.0836,0,0,0,0,0,0,2.51291,2.51291,2.51291,0,0,0,0,0,0,0,0,0
27.5772,7.38584,7.38584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72843,6.01599,6.01599,0,0,0,0,0,0,0,0,0,0,0,0,16.2152,5.61515,5.61515,1869.58,27.31718,27.3172,0,0,0,0,0,0,156.614,6.58387,6.58387,40.0334,16.98960,9.03835,314.672,21.60223,21.6022,4.71287,4.71287,4.71287,0,0,0,0,0,0,7.42811,7.42811,7.42811,0,0,0,0,0,0,8.69487,8.69487,8.69487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294.891,28.54683,28.5468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42841,5.11221,5.11221,7.2741,7.27410,7.2741,0,0,0,8.4729,5.65120,3.43225,0,0,0,0,0,0,8698.29,83.76450,83.7645,685.774,38.73739,38.7374,184.834,42.30959,42.3096,5.22022,3.50810,2.86547,1533.92,20.22311,20.2231,957.704,52.13999,52.14,22423.6,291.80231,291.802,10.1278,10.12780,10.1278,0,0,0,0,0,0,1123.48,40.28278,40.2828,0,0,0,0,0,0,17.4572,8.47522,8.47522,0,0,0,3.71939,4.17716,3.71939,0,0,0,4.0473,4.04730,4.0473,30.5071,8.62871,8.62871,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6958,7.07101,7.07101,0,0,0,0,0,0,0,0,0,0,0,0,1935.17,68.22539,68.2254,16.3528,10.18638,10.1864,4548.95,104.90147,104.901,0,0,0,1417.88,44.71857,44.7186,635.814,26.62821,26.6282,4686.78,282.92441,282.924,0,0,0,8.6095,4.73234,4.73234,300.938,50.17248,50.1725,349.402,66.17736,60.4591,8.87714,4.69364,4.69364,0,0,0,0,0,0,0,0,0,0,0,0,494.716,18.98758,18.9876,0,0,0,0,0,0,0,0,0
