H2AFZ_AvgSignal,H2AFZ_MaxSignal,H2AFZ_MaxScaledSignal,H2AK5ac_AvgSignal,H2AK5ac_MaxSignal,H2AK5ac_MaxScaledSignal,H2AK9ac_AvgSignal,H2AK9ac_MaxSignal,H2AK9ac_MaxScaledSignal,H2BK120ac_AvgSignal,H2BK120ac_MaxSignal,H2BK120ac_MaxScaledSignal,H2BK12ac_AvgSignal,H2BK12ac_MaxSignal,H2BK12ac_MaxScaledSignal,H2BK15ac_AvgSignal,H2BK15ac_MaxSignal,H2BK15ac_MaxScaledSignal,H2BK20ac_AvgSignal,H2BK20ac_MaxSignal,H2BK20ac_MaxScaledSignal,H2BK5ac_AvgSignal,H2BK5ac_MaxSignal,H2BK5ac_MaxScaledSignal,H3F3A_AvgSignal,H3F3A_MaxSignal,H3F3A_MaxScaledSignal,H3K14ac_AvgSignal,H3K14ac_MaxSignal,H3K14ac_MaxScaledSignal,H3K18ac_AvgSignal,H3K18ac_MaxSignal,H3K18ac_MaxScaledSignal,H3K23ac_AvgSignal,H3K23ac_MaxSignal,H3K23ac_MaxScaledSignal,H3K23me2_AvgSignal,H3K23me2_MaxSignal,H3K23me2_MaxScaledSignal,H3K27ac_AvgSignal,H3K27ac_MaxSignal,H3K27ac_MaxScaledSignal,H3K27me3_AvgSignal,H3K27me3_MaxSignal,H3K27me3_MaxScaledSignal,H3K36me3_AvgSignal,H3K36me3_MaxSignal,H3K36me3_MaxScaledSignal,H3K4ac_AvgSignal,H3K4ac_MaxSignal,H3K4ac_MaxScaledSignal,H3K4me1_AvgSignal,H3K4me1_MaxSignal,H3K4me1_MaxScaledSignal,H3K4me2_AvgSignal,H3K4me2_MaxSignal,H3K4me2_MaxScaledSignal,H3K4me3_AvgSignal,H3K4me3_MaxSignal,H3K4me3_MaxScaledSignal,H3K56ac_AvgSignal,H3K56ac_MaxSignal,H3K56ac_MaxScaledSignal,H3K79me1_AvgSignal,H3K79me1_MaxSignal,H3K79me1_MaxScaledSignal,H3K79me2_AvgSignal,H3K79me2_MaxSignal,H3K79me2_MaxScaledSignal,H3K9ac_AvgSignal,H3K9ac_MaxSignal,H3K9ac_MaxScaledSignal,H3K9me1_AvgSignal,H3K9me1_MaxSignal,H3K9me1_MaxScaledSignal,H3K9me2_AvgSignal,H3K9me2_MaxSignal,H3K9me2_MaxScaledSignal,H3K9me3_AvgSignal,H3K9me3_MaxSignal,H3K9me3_MaxScaledSignal,H3T11ph_AvgSignal,H3T11ph_MaxSignal,H3T11ph_MaxScaledSignal,H4K12ac_AvgSignal,H4K12ac_MaxSignal,H4K12ac_MaxScaledSignal,H4K20me1_AvgSignal,H4K20me1_MaxSignal,H4K20me1_MaxScaledSignal,H4K5ac_AvgSignal,H4K5ac_MaxSignal,H4K5ac_MaxScaledSignal,H4K8ac_AvgSignal,H4K8ac_MaxSignal,H4K8ac_MaxScaledSignal,H4K91ac_AvgSignal,H4K91ac_MaxSignal,H4K91ac_MaxScaledSignal
8.65816,5.38500,5.385,3.1216,3.85060,3.1216,0,0,0,0,0,0,0,0,0,4.88249,4.88249,4.88249,0,0,0,3.05604,4.88018,3.05604,2.72902,2.72902,2.72902,1.64716,5.14113,1.64716,0,0,0,0,0,0,0,0,0,726.304,44.07553,44.0755,45.4322,7.77968,7.77968,5.45304,5.45304,5.45304,0,0,0,313.899,17.22249,17.2225,65.2131,24.40855,24.4086,154.3,19.94491,19.9449,0,0,0,0,0,0,0,0,0,85.8552,21.29911,21.2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35111,2.76625,2.76625,0,0,0,0,0,0,0,0,0
4.08494,16.18263,4.08494,9.36482,6.09981,6.09981,0,0,0,0,0,0,5.32376,3.77654,3.08717,4.33361,4.33361,4.33361,0,0,0,0,0,0,2.76428,4.22450,2.60022,0,0,0,0,0,0,5.12181,5.27546,5.12181,0,0,0,935.715,40.24314,40.2431,683.267,29.02715,29.0271,7.97361,8.35841,5.42984,2.22495,2.95703,2.22495,673.733,37.58345,37.5834,253.646,19.44530,19.4453,841.441,40.95834,40.9583,0,0,0,0,0,0,0.892044,6.12537,0.892044,2.8491,3.22480,2.8491,0,0,0,0,0,0,3.60738,3.87042,3.60738,0,0,0,0,0,0,2.41852,2.55495,2.41852,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0358,11.31948,11.3195,115.045,45.31630,36.517,0,0,0,0,0,0,0,0,0,0,0,0,27.5591,21.58085,21.5809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4992,51.22793,51.2279,314.392,17.61900,17.619,33.5514,10.34679,10.3468,0,0,0,348.272,17.51164,17.5116,278.003,17.68392,17.6839,30.5833,21.47609,13.3444,0,0,0,0,0,0,13.7348,9.26271,9.26271,97.0845,10.36191,10.3619,0,0,0,0,0,0,6.80061,4.70826,4.51505,0,0,0,0,0,0,76.2951,7.22048,7.22048,0,0,0,0,0,0,0,0,0
1.28973,3.25826,1.28973,5.61377,5.35373,3.19716,0,0,0,0,0,0,0,0,0,5.06066,5.06066,5.06066,0,0,0,2.58731,2.58731,2.58731,6.34963,6.34963,6.34963,0,0,0,3.95654,3.95654,3.95654,5.61604,5.61604,5.61604,0,0,0,404.31,17.64349,17.6435,45.0361,11.37522,11.3752,127.149,23.57578,23.5758,0,0,0,805.583,66.39828,66.3983,46.6274,5.53573,5.53573,28.9018,7.91253,5.79039,0,0,0,0,0,0,0,0,0,28.637,15.54287,15.5429,0,0,0,0,0,0,6.30523,6.30523,6.30523,0,0,0,0,0,0,95.2127,6.07287,6.07287,0,0,0,4.01174,5.39898,4.01174,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.1537,12.88034,7.60298,29.5408,11.84630,8.27074,473.976,34.12423,34.1242,0,0,0,40.4728,7.17911,7.17911,0,0,0,13.9925,8.85195,5.96277,0,0,0,0,0,0,9.60298,6.02042,6.02042,0.653475,4.95265,0.653475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.038,7.77006,7.77006,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539669,3.88562,0.0539669,0,0,0,0,0,0,0,0,0,0,0,0,13.7304,7.42335,7.42335,9.68079,9.29643,4.84189,1375.65,34.12423,34.1242,0,0,0,3.70006,3.70006,3.70006,0,0,0,12.8622,7.73385,7.73385,0,0,0,0,0,0,6.02042,6.02042,6.02042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.288,7.77006,7.77006,0,0,0,0,0,0,0,0,0
0,0,0,4.64619,4.64619,4.64619,0,0,0,0,0,0,4.26411,4.26411,4.26411,0,0,0,0,0,0,6.18847,6.18847,6.18847,11.4889,7.93778,7.93778,0,0,0,7.82982,7.29454,5.47091,0,0,0,0,0,0,416.263,41.96726,41.9673,8.26203,10.78977,6.44389,196.616,36.78870,36.7887,5.54237,5.16847,2.87943,161.974,16.82460,16.8246,51.2296,15.96093,15.9609,317.17,227.59099,87.6141,1.62971,3.08787,1.62971,0.911474,3.54736,0.911474,20.1148,16.97051,16.9705,99.4562,28.90565,28.9057,0,0,0,0,0,0,104.081,38.03856,38.0386,0,0,0,0,0,0,9.60854,4.22875,3.49164,3.83928,4.89254,3.83928,6.78877,6.78877,6.78877,5.09425,4.42198,3.95805
0,0,0,4.64619,4.64619,4.64619,0,0,0,0,0,0,4.26411,4.26411,4.26411,0,0,0,0,0,0,6.18847,6.18847,6.18847,11.4889,7.93778,7.93778,0,0,0,7.26464,7.29454,5.06565,0,0,0,0,0,0,414.265,41.96726,41.9673,7.41182,10.78977,5.84446,196.966,36.78870,36.7887,4.73949,5.16847,2.62904,160.313,16.82460,16.8246,50.6649,15.96093,15.9609,293.66,227.59099,81.7731,1.45816,3.08787,1.45816,0.714399,3.54736,0.714399,20.1148,16.97051,16.9705,98.0631,28.90565,28.9057,0,0,0,0,0,0,105.599,38.03856,38.0386,0,0,0,0,0,0,9.56703,4.22875,3.49164,3.56748,4.89254,3.56748,6.78877,6.78877,6.78877,4.84859,4.42198,3.95805
12.5423,5.65497,4.68612,9.87155,8.86487,5.72177,8.37285,8.37285,8.37285,5.01929,5.01929,5.01929,10.3951,5.40630,5.17444,0,0,0,0,0,0,2.00116,4.57408,2.00116,13.1434,5.01961,5.01961,0.348165,3.85660,0.348165,3.60301,8.73799,3.24452,0,0,0,0.679396,6.32555,0.635468,1779.69,20.61217,20.6122,373.009,39.26845,39.2685,935.794,24.90850,24.9085,6.33597,5.89582,5.55805,864.083,13.47702,13.477,259.424,27.03249,27.0325,4495.32,85.34618,85.3462,0,0,0,5.51451,5.51451,5.51451,4.46443,4.46443,4.46443,277.261,29.89013,29.8901,0,0,0,0,0,0,0,0,0,0,0,0,5.48736,7.24936,5.48736,200.691,18.92115,18.9212,0,0,0,31.0977,9.62813,9.62813,12.4226,9.96370,9.9637
