"RNAID","Dataset","GC_percentage","GA","GT","CpG","TA","phyloP_max_241w","phyloP_max_100w","RPKM_tissue","RPKM_primary.cell","copy_number","repeat_distance","Interaction_ave","MFE","SNP_density","MAF_avg","fickett","GERP_91_mammals_max","GERP_63_amniotes_max","lowComplexity_density","Max_covariance","coding_potential","methylome","H3K9ac_MaxScaledSignal","H3K79me2_MaxScaledSignal","chrm_acc_MaxScaledSignal","H3K79me1_MaxScaledSignal","Random","T","C","G","MaxEnt_splicing"
"RNA1001","protein-exon3-negative-control",1.09604748414947,-0.95985223463977,0.0722668670867781,0.979920537352789,2.9099458480276,-1.07879077612192,NA,-0.094665369751101,0.765093995824198,13.4898151895319,-0.640692747563825,-0.906284781538611,0.0729179199434156,52.0443662562078,2.73691539179713,1.05947230471367,NA,NA,12.9989678802662,NA,0,-0.0718790532924696,0.403720027182918,0,15.5850930229555,0,-0.185684381222532,0.0405959784885598,-1.88112361132256,3.69431605453672,0.406228624770762
"RNA1002","protein-exon3-negative-control",1.18035882908404,-0.622606854901472,-0.289067468347112,1.28535031522898,3.23755564548766,-1.07879077612192,NA,-0.473326848755505,1.33891449269235,10.1173613921489,-0.615711608323951,-0.0318343721286889,0.407125053017404,65.3855343919668,1.22187383783602,0.167753002643463,NA,NA,12.1578048867269,NA,0,-0.131301534279884,0.401571808874834,0,15.5850930229555,0,0.95130511907304,-0.524753688338361,-0.72185561063476,3.01716011750578,0.406228624770762
"RNA1003","protein-exon3-negative-control",1.26467017401862,-1.6084010418288,0.843113449345744,1.57805385236034,2.38962440500279,-1.07879077612192,NA,-0.556159047287719,1.07717180991038,14.1643059490085,-0.66126545046725,-3.5724134473163,-0.425354533003258,58.4354028679732,1.54169316451793,-2.21808895315555,NA,NA,7.51787753068239,NA,0,-0.0554605874473921,0.281677624885222,0,16.0857817004585,0,-0.434176736045829,0.475816501115916,-3.02271784802473,4.14374647141409,-0.663951572508997
"RNA1004","protein-exon3-negative-control",1.34898151895319,0.311303427450736,0.385423291129483,1.56532761161549,2.29326858222042,-1.07879077612192,NA,-0.556159047287719,1.07717180991038,12.8153244300553,-0.664204408024882,-0.60584789457411,-0.0789944132720337,57.8977455435477,1.64214923507828,0.912978323142532,NA,NA,6.871320333095,NA,0,-0.0554605874473921,0.266622094899239,0,16.0857817004585,0,1.17739770909709,-1.11613547195611,2.26304675138465,1.8316446312392,0.174166899686083
"RNA1005","protein-exon3-negative-control",1.93916093349521,0.259419522875614,-0.337245379738297,2.12528220438852,-0.905744734154285,-1.07879077612192,NA,-0.922987355073235,0.0503351313042236,59.3551868339404,-0.825847073694655,-1.03163262179532,-3.32384185075403,10.9819845435071,17.2640932691563,-2.39357250891623,NA,NA,0,-0.929329157307588,0,-0.0417378674011459,0.0466110367467597,0,16.0857817004585,0,0.650600362847183,-1.34731198737032,2.30302312230456,2.01704855691096,0.174166899686083
"RNA1006","protein-exon3-negative-control",2.61365169297181,-0.804200520914402,-0.120444778477964,2.64705807492702,-1.98492994931684,-1.07879077612192,NA,-0.709990273133258,0.704691838259129,37.7714825306893,-0.859645085607425,-0.920212319344912,-2.27868499823174,3.39875581642403,64.4107923441814,-0.448951872281986,NA,NA,9.16959177095983,-0.987325667683528,0,-0.129837587967338,0,0,16.0857817004585,0,1.09529209639769,-2.42392690042157,2.02153575600808,2.65874845886705,0.174166899686083
"RNA1007","protein-exon3-negative-control",2.69796303790638,-0.648548807189034,0.0722668670867781,2.48161694524408,0.443236784798905,-1.07879077612192,-1.31548032229045,-0.993986382386561,-0.68455778573744,25.6306488601106,-0.321815852560728,-1.43951051469415,-7.61384614075832,5.34037191096881,22.7953275216421,-0.144754607119762,NA,NA,8.85036262818237,-1.01589111309257,0,-0.347394696851735,0,0,0.477843486925585,0,0.962907874940276,-1.26359690371534,3.65866627838837,0.365349161383151,-1.12556465992183
"RNA1008","protein-exon3-negative-control",3.03520841764468,-1.78999470784173,-1.37307047464878,2.76159424163059,1.34898151895319,-1.08667955693451,NA,-0.508826362412168,0.140938367651826,14.1643059490085,-1.06096367830523,0.379027993157202,-1.34898151895319,6.55583724851867,47.0195913939079,-0.811128285823287,NA,NA,12.3881957433333,-1.04151345200493,0,0.087852176246352,0,0,2.49247008481139,0,-0.251997353991525,-1.79092369234578,0.144672703572974,3.95659221213218,-1.12556465992183
"RNA1009","protein-exon3-negative-control",2.52934034803723,-1.76405275555417,-0.602223892389817,2.37980701928535,0.423965620242431,-1.07879077612192,-1.31548032229045,-0.828321985322134,-0.392614024172944,8.09388911371914,-0.224830253158865,-0.633702970186712,-1.89586591852881,5.52042142516213,40.6027036213798,0.320044899052505,NA,NA,8.15498005122746,NA,0,-0.357912369388475,0,0,-0.595580625815464,0,-0.296958032977063,-1.88990975180074,0.391494545075258,3.71552810961058,-0.8167589746119
"RNA1010","protein-exon3-negative-control",2.44502900310266,-1.40086542352831,0.26497851265152,2.1507346858782,-0.0385423291129483,-1.07879077612192,-1.31548032229045,-0.911154183854348,-0.533552391824769,17.5367597463915,-0.448191027538914,-1.94289152397904,-3.37245379738298,4.69626090130185,7.49935318591302,-0.286996784476431,NA,NA,1.32518358936146,-0.91963421825967,0,-1.09100835827024,0,0,-0.674490759476595,0,-0.18955196651161,-0.67759131813048,2.39985477631054,0.948301889216498,-0.182294254656484
