"","H2AFZ_MaxScaledSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_MaxScaledSignal","H3F3A_MaxScaledSignal","H3K14ac_MaxScaledSignal","H3K18ac_MaxScaledSignal","H3K23ac_MaxScaledSignal","H3K23me2_MaxScaledSignal","H3K27ac_MaxScaledSignal","H3K27me3_MaxScaledSignal","H3K36me3_MaxScaledSignal","H3K4ac_MaxScaledSignal","H3K4me1_MaxScaledSignal","H3K4me2_MaxScaledSignal","H3K4me3_MaxScaledSignal","H3K56ac_MaxScaledSignal","H3K79me1_MaxScaledSignal","H3K79me2_MaxScaledSignal","H3K9ac_MaxScaledSignal","H3K9me1_MaxScaledSignal","H3K9me2_MaxScaledSignal","H3K9me3_MaxScaledSignal","H4K12ac_MaxScaledSignal","H4K20me1_MaxScaledSignal","H4K5ac_MaxScaledSignal","H4K8ac_MaxScaledSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome"
"signed_D",0.053,0.0299999999999999,0.031,-0.075,-0.0669999999999999,-0.0529999999999999,-0.041,-0.035,0.231,0.035,-0.041,0.0830000000000001,0.018,0.262,0.117,0.362,0.035,0.268,0.2,0.222,0.0479999999999999,0.22,0.279,0.187,0.0559999999999999,-0.015,0.107,-0.027,0.327,-0.036,-0.0529999999999999,-0.0429999999999999,0.271,0.125
"max",0.053,0.0299999999999999,0.031,0,0,0,0,0.00700000000000001,0.231,0.035,0.0129999999999999,0.0830000000000001,0.018,0.262,0.117,0.362,0.035,0.268,0.2,0.222,0.0479999999999999,0.22,0.279,0.187,0.0559999999999999,0,0.107,0,0.327,0,0,0,0.271,0.125
"min",-0.0429999999999999,-0.00700000000000001,-0.00600000000000001,-0.075,-0.0669999999999999,-0.0529999999999999,-0.041,-0.035,-0.002,-0.012,-0.041,-0.001,-0.001,-0.002,-0.01,-0.001,-0.022,0,-0.016,-0.003,-0.001,-0.004,0,-0.004,0,-0.015,-0.036,-0.027,0,-0.036,-0.0529999999999999,-0.0429999999999999,-0.031,-0.047
"p.val",0.960429846096044,0.999997521844073,0.99999375460207,0.68597863976207,0.809104872366701,0.960429846096044,0.998000392012845,0.999883975785317,0.000122322101096843,0.999883975785317,0.998000392012845,0.558238982268848,1,7.5983450408517e-06,0.165906007941706,8.98360622083254e-11,0.999883975785317,4.26204310582473e-06,0.00138843218553259,0.000256705744475758,0.984846149065332,0.000301466150189922,1.42724876079486e-06,0.00346565779461017,0.938022346911143,1,0.24896789758492,0.999999919867317,7.20501026294266e-09,0.999793038740529,0.960429846096044,0.996029726837124,3.17640053228911e-06,0.116721931560416
