"","H2AFZ_MaxScaledSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_MaxScaledSignal","H3F3A_MaxScaledSignal","H3K14ac_MaxScaledSignal","H3K18ac_MaxScaledSignal","H3K23ac_MaxScaledSignal","H3K23me2_MaxScaledSignal","H3K27ac_MaxScaledSignal","H3K27me3_MaxScaledSignal","H3K36me3_MaxScaledSignal","H3K4ac_MaxScaledSignal","H3K4me1_MaxScaledSignal","H3K4me2_MaxScaledSignal","H3K4me3_MaxScaledSignal","H3K56ac_MaxScaledSignal","H3K79me1_MaxScaledSignal","H3K79me2_MaxScaledSignal","H3K9ac_MaxScaledSignal","H3K9me1_MaxScaledSignal","H3K9me2_MaxScaledSignal","H3K9me3_MaxScaledSignal","H4K12ac_MaxScaledSignal","H4K20me1_MaxScaledSignal","H4K5ac_MaxScaledSignal","H4K8ac_MaxScaledSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome"
"signed_D",0.032,0.0924999999999999,0.0620000000000001,0.051,0.055,0.0435,-0.0115,0.0834999999999999,0.077,0.0940000000000001,0.1235,0.144,0.074,0.1625,-0.0705,0.464,0.123,0.235,0.23,0.2405,0.0770000000000001,0.401,0.5625,0.29,0.0639999999999999,-0.01,-0.114,-0.0105,0.4855,0.0315,0.0845,0.0844999999999999,0.139,0.2035
"max",0.032,0.0924999999999999,0.0620000000000001,0.051,0.055,0.0435,0.0105000000000001,0.0834999999999999,0.077,0.0940000000000001,0.1235,0.144,0.074,0.1625,0.0135000000000001,0.464,0.123,0.235,0.23,0.2405,0.0770000000000001,0.401,0.5625,0.29,0.0639999999999999,0,0.0225000000000001,0.00850000000000006,0.4855,0.0315,0.0845,0.0844999999999999,0.139,0.2035
"min",-0.00550000000000006,-0.004,-0.00249999999999995,-0.0165,-0.01,-0.0135,-0.0115,-0.00149999999999995,-0.0135,-0.00149999999999995,-0.00449999999999995,0,-0.002,-0.00549999999999995,-0.0705,0,-0.000499999999999945,-0.001,-0.00600000000000001,-0.000499999999999945,0,-0.00149999999999995,0,0,-0.000499999999999945,-0.01,-0.114,-0.0105,0,-0.0105,-0.0105,-0.00700000000000001,-0.0439999999999999,-0.003
"p.val",0.992302556345702,0.0890724834685335,0.486817862972678,0.73162853993351,0.641287797289094,0.881570295861068,1,0.158386981497703,0.231215218479563,0.0804588946012977,0.00780394732395329,0.00106240884269852,0.272384434298456,0.000135149964662162,0.32673481819374,1.99687966933656e-34,0.00816166217483365,3.79845663553466e-09,8.8467431102188e-09,1.46755072203217e-09,0.231215218479563,8.06286287865416e-26,2.15024899797207e-50,1.04596008751612e-13,0.44582413296892,1,0.0177269056991812,1,1.19241115698089e-37,0.99367438216127,0.149013024211702,0.149013024211702,0.00177728030449414,5.76752376475871e-07
