"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"H3K9ac",0.271577901490282,0,1.65725104069837e-06,0,3.39488437361979e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139829407775753,0,0,0.000103810603729557,0.0580597600190175,0,0,0,0,2.614138618432e-13,0.000751204988004598
"H3K79me1",0.0297975516949004,0,7.93997591921094e-07,0,6.13180763339857e-08,1.44279038358152e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655147202521437,0,0,0.000179310825346008,0.0673374883861273,0,0,0,0,0,0.0758656728465686
"H3K79me2",0.319541455612797,0,0.149069279663538,0,0.000990240757181751,1.08625874542295e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72294239710881e-06,0,3.42132094151337e-10,0.000717392870178485,0.0869219724685431,0,0,0,0,2.97423777149208e-13,0.901540667888112
"Chromatin Accessibility",0.181326487235459,0,0,0,8.39436921058045e-16,5.26961664716594e-07,0,0,0,0,0,0,0,0,0.158318824123439,0,0,0,0,0,0.566819534384213,0,0,0.00427944546672739,5.77169940525842e-08,0,0,0,0,0.584694164277443,0.128806533393056
"Methylome",0.629776798161847,0,0,0,0.0294730662321086,3.32263846066401e-11,0,1.14859879183562e-11,0,0,0,0,0,3.86458506780394e-05,0,0.129677686921249,0.00139829407775753,0.655147202521437,4.72294239710881e-06,0.566819534384213,0,0,0,0.271577901490282,2.94758183778022e-05,0,0,0,1.71168529287075e-13,0,0
"Repeat free",0.212867192927918,0,9.87258084049143e-15,0,3.9761133839336e-08,1.31953650065777e-13,0,7.92236622529529e-07,0.00372527857805152,1.83012397162221e-06,0,0,0,0,0,2.18190245745201e-13,0,0,0,0,0,0,0,0.675029188972672,0.313106266189416,0,0.0234667775206363,0.066924927077794,6.75733016341608e-07,4.57966997657877e-15,0.00160947852615716
"Copies",0.908640465384812,0,0,0,0,1.69440337507891e-08,0.0327231569598967,0.00571346763900915,0.616677019593841,0.766078758963519,0,0,0,0,0,0,0,0,3.42132094151337e-10,0,0,0,0,0.00200269459232433,4.19456136491192e-14,0,0,0,0.79512944437269,0,0
"RNAcode",0.643594815972101,0.122685303175653,7.00000899350447e-10,1.19219370972104e-09,0.0699151893236984,0.0883276863534173,0.0171891947992927,0.00751778184328019,2.07927971573874e-06,0.00427944546672739,4.20679600200717e-13,5.1259032605688e-11,8.74572538334896e-05,0.00237398311783351,0.559075955389308,0.844013591084055,0.000103810603729557,0.000179310825346008,0.000717392870178485,0.00427944546672739,0.271577901490282,0.675029188972672,0.00200269459232433,0,0.00784322899784892,0.0631597636434482,0,2.2319239188658e-13,0.000509085164877376,5.0677901113378e-06,0.000502974328370634
"Fickett",0.359591044287493,0,0,0,0.000385435874266103,0.0710701944803702,9.59757569343035e-06,0.8074846779682,0.00505104051301026,0.0640403767844997,0,1.31112052431923e-14,0.00799318089180544,1.86700481191909e-08,0,0,0.0580597600190175,0.0673374883861273,0.0869219724685431,5.77169940525842e-08,2.94758183778022e-05,0.313106266189416,4.19456136491192e-14,0.00784322899784892,0,0.396029423103062,0,0,6.38039855271888e-07,0,0
"Covariance",0.693607278188307,3.64414381024022e-14,0,0,0,9.370258482677e-06,0.592036643038931,0.107936735926227,0.141568824343948,0.466761122908844,0,0,0,0,0.000368229229390789,0.00130880724945836,0,0,0,0,0,0,0,0.0631597636434482,0.396029423103062,0,0,3.23721441809673e-12,0,0,0
"MFE",0.79512944437269,0,0,0,6.25081498585333e-06,0.141739282679566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234667775206363,0,0,0,0,0,0,0,0,0
"Interactions",0.923850517217576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066924927077794,0,2.2319239188658e-13,0,3.23721441809673e-12,0,0,0,0,0
"MaxEnt splicing",0.775087096879248,0,4.05483251785943e-05,3.24867966530117e-06,3.06520995635799e-11,0.0051569653265665,0,4.49964320019285e-14,0,0,0,0,0,3.38727728343146e-14,1.95576343649826e-07,0.0171891947992927,0,0,0,0,1.71168529287075e-13,6.75733016341608e-07,0.79512944437269,0.000509085164877376,6.38039855271888e-07,0,0,0,0,0.363767747395254,6.60804744256893e-15
"SNPs",0.73778257055971,0,0,0,0.000237740319828678,0.00316875029186166,0,0,0,0,0,0,0,0,0.000200250849824906,0.783870945218806,2.614138618432e-13,0,2.97423777149208e-13,0.584694164277443,0,4.57966997657877e-15,0,5.0677901113378e-06,0,0,0,0,0.363767747395254,0,0
"MAF",0.742119746035282,2.68709720201835e-07,0,0,0.742119746035282,0.563087039399809,0.000113487979792018,0.0830627067268553,0.000855221103862563,0.335576878943702,0.133202077383003,2.48414693071228e-10,0,1.19079147811028e-08,0,0,0.000751204988004598,0.0758656728465686,0.901540667888112,0.128806533393056,0,0.00160947852615716,0,0.000502974328370634,0,0,0,0,6.60804744256893e-15,0,0
